price,sqm,rooms,age,balcony,lift,parking
850000,66,2.5,2,false,false,false
1950000,110,4.0,16,false,false,false
440000,112,5.5,31,true,true,false
690000,86,3.5,2,true,true,false
715000,126,4.5,-1,true,true,true
715000,126,4.5,-1,true,true,true
498000,136,4.5,29,true,true,false
540000,76,2.5,1,true,true,true
970000,121,4.5,0,true,true,false
850000,124,4.5,0,false,true,false
520000,106,3.5,1,true,true,true
630000,94,3.5,34,true,false,false
695000,111,4.5,1,false,true,false
920000,90,3.5,4,true,true,true
500000,102,4.5,43,false,true,true
800000,125,4.5,43,true,true,false
240000,38,2.0,218,true,false,false
590000,143,4.5,34,false,false,true
1100000,185,4.5,26,false,true,false
415000,90,2.5,43,false,false,false
415000,90,2.5,43,false,false,false
425000,93,4.0,35,false,false,false
750000,98,4.0,51,true,true,false
698000,111,4.0,58,true,true,false
140000,27,1.0,53,true,true,true
800000,125,4.5,43,true,true,false
1150000,142,4.0,18,false,true,false
1150000,115,4.0,24,true,true,false
1150000,115,4.0,24,true,true,false
445000,60,2.0,30,false,false,false
1290000,143,4.0,11,true,true,false
1290000,143,4.0,11,true,true,false
410000,70,2.0,51,true,true,false
410000,70,2.0,51,true,true,false
675000,145,5.0,54,true,true,false
875000,99,4.0,11,true,true,false
875000,99,4.0,11,true,true,false
1250000,140,4.0,17,false,false,false
1900000,120,4.0,32,true,true,false
105000,35,2.0,54,false,true,true
80000,17,1.0,53,false,true,true
145000,34,1.0,58,false,true,false
420000,62,3.0,50,true,true,true
420000,62,3.0,50,true,true,true
5900000,440,6.0,23,false,true,true
420000,62,3.0,30,false,false,false
1575000,180,4.0,8,true,false,false
1200000,110,4.0,31,true,true,true
1200000,110,4.0,31,true,true,true
340000,43,2.0,38,false,false,true
600000,69,2.0,23,false,true,false
390000,85,3.0,51,false,false,false
2700000,170,5.0,16,true,true,false
2700000,170,5.0,16,true,true,false
655000,115,4.5,22,true,true,false
520000,125,4.5,33,true,false,false
595000,98,3.5,2,true,true,true
384000,68,3.0,47,true,true,false
920000,101,3.5,3,false,true,false
850000,66,2.5,2,false,false,false
1790000,131,4.5,2,false,false,false
2090000,169,5.5,5,true,true,true
1620000,133,4.5,1,false,true,false
810000,72,3.0,14,false,false,false
1020000,75,3.5,31,true,true,false
1450000,109,3.5,5,true,true,false
545000,117,4.5,26,true,true,false
280000,75,3.5,45,true,true,false
490000,165,5.5,25,true,false,false
495000,70,3.5,47,true,true,true
600000,100,4.5,22,true,false,true
580000,88,3.5,2,true,true,true
590000,114,4.5,1,true,true,true
750000,89,5.0,49,true,false,true
670000,67,2.5,2,true,true,true
495000,70,3.5,47,true,true,true
1390000,165,4.5,0,true,true,false
740000,112,4.5,6,true,false,false
